"filename", "language", "YAML", "Dart", "JSON", "XML", "comment", "blank", "total"
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 5, -7, -1, -3
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 5, -7, -1, -3
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 15, 7, 1, 23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 4, 0, 0, 4
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 15, 7, 1, 23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 4, 0, 0, 4
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\images\BODLOGOFORICON.svg", "XML", 0, 0, 0, -1, 0, 0, -1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 1, 22
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 7, 0, 0, 7
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\EditProfileInfoForOffice.dart", "Dart", 0, 353, 0, 0, 0, 16, 369
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\HomePage.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\OfficePostShow.dart", "Dart", 0, 638, 0, 0, 29, 10, 677
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\OfficeProfile.dart", "Dart", 0, 0, 0, 0, 0, -1, -1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\OfficialProfileSetting.dart", "Dart", 0, 557, 0, 0, 26, 20, 603
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\Plans.dart", "Dart", 0, -3, 0, 0, 3, 0, 0
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\UserHomePage.dart", "Dart", 0, 6, 0, 0, 178, 1, 185
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\generated\intl\messages_en.dart", "Dart", 0, 74, 0, 0, 0, 0, 74
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\generated\l10n.dart", "Dart", 0, 253, 0, 0, 36, 36, 325
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\global.dart", "Dart", 0, 1, 0, 0, 0, 0, 1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\l10n\intl_en.arb", "JSON", 0, 0, 36, 0, 0, 5, 41
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\map.dart", "Dart", 0, 126, 0, 0, 0, 11, 137
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\officeAccountInfo.dart", "Dart", 0, 312, 0, 0, 0, 10, 322
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\officeHomePage.dart", "Dart", 0, 697, 0, 0, 5, 8, 710
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\requestPicture.dart", "Dart", 0, 342, 0, 0, 0, 19, 361
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\subscription_pageOne.dart", "Dart", 0, 6, 0, 0, 0, 0, 6
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\warningLogOutPage.dart", "Dart", 0, 147, 0, 0, 0, 3, 150
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\pubspec.yaml", "YAML", 11, 0, 0, 0, -1, 2, 12
"Total", "-", 11, 3509, 57, 54, 276, 142, 4049
