"filename", "language", "C++", "CMake", "XML", "YAML", "Dart", "Markdown", "JSON", "Swift", "HTML", "pip requirements", "Python", "Properties", "comment", "blank", "total"
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 51
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable\android12splash.xml", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\db\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 11, 42
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\authentication.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 31, 77, 422
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\bookmark.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 8, 39
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\db_routes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\email.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 26, 9, 70
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\postadd.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 8, 36, 140
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\posts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 36, 10, 171
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\purches.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\search.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 105, 4, 147
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\users.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 8, 36
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\utils\bunny_upload.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 4, 14, 50
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 397, 0, 0, 0, 0, 397
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\images\Bod-logo(512x512)-White.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 45
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\AboutUs.dart", "Dart", 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 4, 11, 314
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\ContactUs.dart", "Dart", 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 7, 219
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\EditProfile.dart", "Dart", 0, 0, 0, 0, 400, 0, 0, 0, 0, 0, 0, 0, 77, 32, 509
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\EditProfileInfoForOffice.dart", "Dart", 0, 0, 0, 0, 357, 0, 0, 0, 0, 0, 0, 0, 6, 16, 379
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\HomePage.dart", "Dart", 0, 0, 0, 0, 1591, 0, 0, 0, 0, 0, 0, 0, 43, 52, 1686
