"filename", "language", "C++", "CMake", "HTML", "Markdown", "Dart", "JSON", "Swift", "YAML", "XML", "PHP", "Python", "pip requirements", "Properties", "comment", "blank", "total"
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\README.md", "Markdown", 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -17
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -22, -4, -29
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -4, -1, -8
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -38, 0, 0, 0, 0, -11, -2, -51
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, -1, -35
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable\android12splash.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, -1, -26
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, -1, -35
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, -7, -1, -23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, -9, -1, -23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, -7, -1, -23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, -9, -1, -23
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -4, -1, -8
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\db\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -2, -15
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -1, -11, -42
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -1, -9
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\authentication.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -314, 0, 0, -31, -77, -422
