Date : 2025-12-18 12:59:06
Directory : c:\Users\ZETTA\Desktop\nzaKishFinala
Total : 276 files,  5600 codes, 647 comments, 559 blanks, all 6806 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Dart             |         99 |      3,933 |        -47 |        277 |      4,163 |
| Python           |         36 |        824 |        686 |        211 |      1,721 |
| PHP              |          9 |        395 |          7 |         64 |        466 |
| JSON             |         18 |        314 |          0 |        -38 |        276 |
| HTML             |          6 |        184 |          2 |         44 |        230 |
| Swift            |         12 |          2 |          0 |          0 |          2 |
| C++              |         32 |          0 |          0 |          0 |          0 |
| CMake            |         16 |          0 |          0 |          0 |          0 |
| Markdown         |          4 |          0 |          0 |          0 |          0 |
| pip requirements |          4 |          0 |          0 |          0 |          0 |
| Properties       |          4 |          0 |          0 |          0 |          0 |
| YAML             |          4 |         -1 |         -1 |          1 |         -1 |
| XML              |         32 |        -51 |          0 |          0 |        -51 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        276 |      5,600 |        647 |        559 |      6,806 |
| . (Files)                                                                                                         |          3 |         56 |         26 |         28 |        110 |
| ..                                                                                                                |        124 |    -23,103 |     -1,525 |     -1,715 |    -26,343 |
| ..\aqarat_flutter_project4                                                                                        |        124 |    -23,103 |     -1,525 |     -1,715 |    -26,343 |
| ..\aqarat_flutter_project4 (Files)                                                                                |          3 |        -57 |        -27 |        -27 |       -111 |
| ..\aqarat_flutter_project4\android                                                                                |         13 |       -210 |        -51 |        -14 |       -275 |
| ..\aqarat_flutter_project4\android (Files)                                                                        |          1 |         -3 |          0 |         -1 |         -4 |
| ..\aqarat_flutter_project4\android\app                                                                            |         11 |       -202 |        -51 |        -12 |       -265 |
| ..\aqarat_flutter_project4\android\app\src                                                                        |         11 |       -202 |        -51 |        -12 |       -265 |
| ..\aqarat_flutter_project4\android\app\src\debug                                                                  |          1 |         -3 |         -4 |         -1 |         -8 |
| ..\aqarat_flutter_project4\android\app\src\main                                                                   |          9 |       -196 |        -43 |        -10 |       -249 |
| ..\aqarat_flutter_project4\android\app\src\main (Files)                                                           |          1 |        -38 |        -11 |         -2 |        -51 |
| ..\aqarat_flutter_project4\android\app\src\main\res                                                               |          8 |       -158 |        -32 |         -8 |       -198 |
| ..\aqarat_flutter_project4\android\app\src\main\res\drawable                                                      |          2 |        -59 |          0 |         -2 |        -61 |
| ..\aqarat_flutter_project4\android\app\src\main\res\drawable-v21                                                  |          1 |        -34 |          0 |         -1 |        -35 |
| ..\aqarat_flutter_project4\android\app\src\main\res\values                                                        |          1 |        -13 |         -9 |         -1 |        -23 |
| ..\aqarat_flutter_project4\android\app\src\main\res\values-night                                                  |          1 |        -13 |         -9 |         -1 |        -23 |
| ..\aqarat_flutter_project4\android\app\src\main\res\values-night-v31                                              |          1 |        -15 |         -7 |         -1 |        -23 |
| ..\aqarat_flutter_project4\android\app\src\main\res\values-v31                                                    |          1 |        -15 |         -7 |         -1 |        -23 |
| ..\aqarat_flutter_project4\android\app\src\main\res\xml                                                           |          1 |         -9 |          0 |         -1 |        -10 |
| ..\aqarat_flutter_project4\android\app\src\profile                                                                |          1 |         -3 |         -4 |         -1 |         -8 |
| ..\aqarat_flutter_project4\android\gradle                                                                         |          1 |         -5 |          0 |         -1 |         -6 |
| ..\aqarat_flutter_project4\android\gradle\wrapper                                                                 |          1 |         -5 |          0 |         -1 |         -6 |
| ..\aqarat_flutter_project4\backend                                                                                |         15 |     -1,201 |       -211 |       -190 |     -1,602 |
| ..\aqarat_flutter_project4\backend (Files)                                                                        |          1 |       -397 |          0 |          0 |       -397 |
| ..\aqarat_flutter_project4\backend\app                                                                            |         14 |       -804 |       -211 |       -190 |     -1,205 |
| ..\aqarat_flutter_project4\backend\app (Files)                                                                    |          3 |        -38 |         -1 |        -13 |        -52 |
| ..\aqarat_flutter_project4\backend\app\db                                                                         |          1 |        -13 |          0 |         -2 |        -15 |
| ..\aqarat_flutter_project4\backend\app\routes                                                                     |          9 |       -721 |       -206 |       -161 |     -1,088 |
| ..\aqarat_flutter_project4\backend\app\utils                                                                      |          1 |        -32 |         -4 |        -14 |        -50 |
| ..\aqarat_flutter_project4\images                                                                                 |          1 |         -1 |          0 |          0 |         -1 |
| ..\aqarat_flutter_project4\ios                                                                                    |          9 |       -257 |         -4 |        -14 |       -275 |
| ..\aqarat_flutter_project4\ios\Runner                                                                             |          8 |       -250 |         -2 |        -10 |       -262 |
| ..\aqarat_flutter_project4\ios\Runner (Files)                                                                     |          2 |        -13 |          0 |         -3 |        -16 |
| ..\aqarat_flutter_project4\ios\RunnerTests                                                                        |          1 |         -7 |         -2 |         -4 |        -13 |
| ..\aqarat_flutter_project4\ios\Runner\Assets.xcassets                                                             |          4 |       -169 |          0 |         -5 |       -174 |
| ..\aqarat_flutter_project4\ios\Runner\Assets.xcassets\AppIcon.appiconset                                          |          1 |       -122 |          0 |         -1 |       -123 |
| ..\aqarat_flutter_project4\ios\Runner\Assets.xcassets\LaunchBackground.imageset                                   |          1 |        -21 |          0 |         -1 |        -22 |
