Date : 2025-12-18 12:59:06
Directory : c:\Users\ZETTA\Desktop\nzaKishFinala
Total : 152 files,  28703 codes, 2172 comments, 2274 blanks, all 33149 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Dart             |         55 |     22,521 |      1,034 |      1,256 |     24,811 |
| Python           |         23 |      1,620 |        897 |        400 |      2,917 |
| JSON             |          9 |      1,272 |          0 |         61 |      1,333 |
| HTML             |          3 |        776 |         17 |        143 |        936 |
| XML              |         15 |        565 |         53 |         15 |        633 |
| C++              |         16 |        554 |        131 |        189 |        874 |
| CMake            |          8 |        465 |          0 |         92 |        557 |
| pip requirements |          2 |        405 |          0 |          1 |        406 |
| PHP              |          9 |        395 |          7 |         64 |        466 |
| Swift            |          6 |         63 |          7 |         21 |         91 |
| YAML             |          2 |         46 |         26 |         21 |         93 |
| Markdown         |          2 |         13 |          0 |          9 |         22 |
| Properties       |          2 |          8 |          0 |          2 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        152 |     28,703 |      2,172 |      2,274 |     33,149 |
| . (Files)                                                                                               |          3 |         56 |         26 |         28 |        110 |
| android                                                                                                 |         14 |        709 |         53 |        128 |        890 |
| android (Files)                                                                                         |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                             |         11 |        153 |         51 |         12 |        216 |
| android\app\src                                                                                         |         11 |        153 |         51 |         12 |        216 |
| android\app\src\debug                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                    |          9 |        147 |         43 |         10 |        200 |
| android\app\src\main (Files)                                                                            |          1 |         39 |         11 |          2 |         52 |
| android\app\src\main\res                                                                                |          8 |        108 |         32 |          8 |        148 |
| android\app\src\main\res\drawable                                                                       |          2 |         34 |          0 |          2 |         36 |
| android\app\src\main\res\drawable-v21                                                                   |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                         |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                   |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                               |          1 |         15 |          7 |          1 |         23 |
| android\app\src\main\res\values-v31                                                                     |          1 |         15 |          7 |          1 |         23 |
| android\app\src\main\res\xml                                                                            |          1 |          9 |          0 |          1 |         10 |
| android\app\src\profile                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android\build                                                                                           |          1 |        548 |          2 |        114 |        664 |
| android\build\reports                                                                                   |          1 |        548 |          2 |        114 |        664 |
| android\build\reports\problems                                                                          |          1 |        548 |          2 |        114 |        664 |
| android\gradle                                                                                          |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                  |          1 |          5 |          0 |          1 |          6 |
| backend                                                                                                 |         25 |      2,025 |        897 |        401 |      3,323 |
| backend (Files)                                                                                         |          1 |        397 |          0 |          0 |        397 |
| backend\app                                                                                             |         24 |      1,628 |        897 |        401 |      2,926 |
| backend\app (Files)                                                                                     |          3 |         46 |          1 |         13 |         60 |
| backend\app\cleanup                                                                                     |          1 |         31 |          3 |          9 |         43 |
| backend\app\db                                                                                          |          1 |         13 |          9 |          4 |         26 |
| backend\app\routes                                                                                      |         17 |      1,494 |        880 |        358 |      2,732 |
| backend\app\utils                                                                                       |          2 |         44 |          4 |         17 |         65 |
| flutter_fib_api                                                                                         |          9 |        395 |          7 |         64 |        466 |
| images                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                                     |          9 |        257 |          4 |         14 |        275 |
| ios\Runner                                                                                              |          8 |        250 |          2 |         10 |        262 |
| ios\Runner (Files)                                                                                      |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                         |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                              |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                           |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                    |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                         |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                   |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                     |         58 |     23,510 |      1,024 |      1,305 |     25,839 |
| lib (Files)                                                                                             |         31 |     17,826 |        656 |        768 |     19,250 |
| lib\backend                                                                                             |         17 |      1,012 |         52 |        170 |      1,234 |
| lib\generated                                                                                           |          6 |      3,669 |        316 |        311 |      4,296 |
| lib\generated (Files)                                                                                   |          1 |      1,682 |        266 |        273 |      2,221 |
| lib\generated\intl                                                                                      |          5 |      1,987 |         50 |         38 |      2,075 |
| lib\l10n                                                                                                |          4 |      1,003 |          0 |         56 |      1,059 |
| linux                                                                                                   |          9 |        335 |         37 |         92 |        464 |
| linux (Files)                                                                                           |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                                           |          4 |        115 |          9 |         27 |        151 |
| linux\runner                                                                                            |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                   |          6 |        455 |          5 |         17 |        477 |
| macos\Flutter                                                                                           |          1 |         14 |          3 |          4 |         21 |
| macos\Runner                                                                                            |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                                    |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                                       |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                            |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                         |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                 |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                    |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                     |          2 |         54 |         15 |          6 |         75 |
| website                                                                                                 |          1 |        209 |          0 |         24 |        233 |
| windows                                                                                                 |         14 |        683 |         94 |        188 |        965 |
| windows (Files)                                                                                         |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                         |          4 |        132 |          9 |         29 |        170 |
| windows\runner                                                                                          |          9 |        462 |         85 |        139 |        686 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\ZETTA\Desktop\nzaKishFinala\README.md                                                          | Markdown         |         10 |          0 |          7 |         17 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\analysis_options.yaml                                              | YAML             |          3 |         22 |          4 |         29 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\debug\AndroidManifest.xml                          | XML              |          3 |          4 |          1 |          8 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\AndroidManifest.xml                           | XML              |         39 |         11 |          2 |         52 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\drawable-v21\launch_background.xml        | XML              |          9 |          0 |          1 |         10 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\drawable\android12splash.xml              | XML              |         25 |          0 |          1 |         26 |
